 code  |          name           |         name_en         | province_code |  unit   | province_name 
-------+-------------------------+-------------------------+---------------+---------+---------------
 00004 | Ba Đình                 | Ba Dinh                 | 01            | Phường  | Hà Nội
 00008 | Ngọc Hà                 | Ngoc Ha                 | 01            | Phường  | Hà Nội
 00025 | Giảng Võ                | Giang Vo                | 01            | Phường  | Hà Nội
 00070 | Hoàn Kiếm               | Hoan Kiem               | 01            | Phường  | Hà Nội
 00082 | Cửa Nam                 | Cua Nam                 | 01            | Phường  | Hà Nội
 00091 | Phú Thượng              | Phu Thuong              | 01            | Phường  | Hà Nội
 00097 | Hồng Hà                 | Hong Ha                 | 01            | Phường  | Hà Nội
 00103 | Tây Hồ                  | Tay Ho                  | 01            | Phường  | Hà Nội
 00118 | Bồ Đề                   | Bo De                   | 01            | Phường  | Hà Nội
 00127 | Việt Hưng               | Viet Hung               | 01            | Phường  | Hà Nội
 00136 | Phúc Lợi                | Phuc Loi                | 01            | Phường  | Hà Nội
 00145 | Long Biên               | Long Bien               | 01            | Phường  | Hà Nội
 00160 | Nghĩa Đô                | Nghia Do                | 01            | Phường  | Hà Nội
 00166 | Cầu Giấy                | Cau Giay                | 01            | Phường  | Hà Nội
 00175 | Yên Hoà                 | Yen Hoa                 | 01            | Phường  | Hà Nội
 00190 | Ô Chợ Dừa               | O Cho Dua               | 01            | Phường  | Hà Nội
 00199 | Láng                    | Lang                    | 01            | Phường  | Hà Nội
 00226 | Văn Miếu - Quốc Tử Giám | Van Mieu - Quoc Tu Giam | 01            | Phường  | Hà Nội
 00229 | Kim Liên                | Kim Lien                | 01            | Phường  | Hà Nội
 00235 | Đống Đa                 | Dong Da                 | 01            | Phường  | Hà Nội
 00256 | Hai Bà Trưng            | Hai Ba Trung            | 01            | Phường  | Hà Nội
 00283 | Vĩnh Tuy                | Vinh Tuy                | 01            | Phường  | Hà Nội
 00292 | Bạch Mai                | Bach Mai                | 01            | Phường  | Hà Nội
 00301 | Vĩnh Hưng               | Vinh Hung               | 01            | Phường  | Hà Nội
 00316 | Định Công               | Dinh Cong               | 01            | Phường  | Hà Nội
 00322 | Tương Mai               | Tuong Mai               | 01            | Phường  | Hà Nội
 00328 | Lĩnh Nam                | Linh Nam                | 01            | Phường  | Hà Nội
 00331 | Hoàng Mai               | Hoang Mai               | 01            | Phường  | Hà Nội
 00337 | Hoàng Liệt              | Hoang Liet              | 01            | Phường  | Hà Nội
 00340 | Yên Sở                  | Yen So                  | 01            | Phường  | Hà Nội
 00352 | Phương Liệt             | Phuong Liet             | 01            | Phường  | Hà Nội
 00364 | Khương Đình             | Khuong Dinh             | 01            | Phường  | Hà Nội
 00367 | Thanh Xuân              | Thanh Xuan              | 01            | Phường  | Hà Nội
 00376 | Sóc Sơn                 | Soc Son                 | 01            | Xã      | Hà Nội
 00382 | Kim Anh                 | Kim Anh                 | 01            | Xã      | Hà Nội
 00385 | Trung Giã               | Trung Gia               | 01            | Xã      | Hà Nội
 00430 | Đa Phúc                 | Da Phuc                 | 01            | Xã      | Hà Nội
 00433 | Nội Bài                 | Noi Bai                 | 01            | Xã      | Hà Nội
 00454 | Đông Anh                | Dong Anh                | 01            | Xã      | Hà Nội
 00466 | Phúc Thịnh              | Phuc Thinh              | 01            | Xã      | Hà Nội
 00475 | Thư Lâm                 | Thu Lam                 | 01            | Xã      | Hà Nội
 00493 | Thiên Lộc               | Thien Loc               | 01            | Xã      | Hà Nội
 00508 | Vĩnh Thanh              | Vinh Thanh              | 01            | Xã      | Hà Nội
 00541 | Phù Đổng                | Phu Dong                | 01            | Xã      | Hà Nội
 00562 | Thuận An                | Thuan An                | 01            | Xã      | Hà Nội
 00565 | Gia Lâm                 | Gia Lam                 | 01            | Xã      | Hà Nội
 00577 | Bát Tràng               | Bat Trang               | 01            | Xã      | Hà Nội
 00592 | Từ Liêm                 | Tu Liem                 | 01            | Phường  | Hà Nội
 00598 | Thượng Cát              | Thuong Cat              | 01            | Phường  | Hà Nội
 00602 | Đông Ngạc               | Dong Ngac               | 01            | Phường  | Hà Nội
 00611 | Xuân Đỉnh               | Xuan Dinh               | 01            | Phường  | Hà Nội
 00613 | Tây Tựu                 | Tay Tuu                 | 01            | Phường  | Hà Nội
 00619 | Phú Diễn                | Phu Dien                | 01            | Phường  | Hà Nội
 00622 | Xuân Phương             | Xuan Phuong             | 01            | Phường  | Hà Nội
 00634 | Tây Mỗ                  | Tay Mo                  | 01            | Phường  | Hà Nội
 00637 | Đại Mỗ                  | Dai Mo                  | 01            | Phường  | Hà Nội
 00640 | Thanh Trì               | Thanh Tri               | 01            | Xã      | Hà Nội
 00643 | Thanh Liệt              | Thanh Liet              | 01            | Phường  | Hà Nội
 00664 | Đại Thanh               | Dai Thanh               | 01            | Xã      | Hà Nội
 00679 | Ngọc Hồi                | Ngoc Hoi                | 01            | Xã      | Hà Nội
 00685 | Nam Phù                 | Nam Phu                 | 01            | Xã      | Hà Nội
 04930 | Yên Xuân                | Yen Xuan                | 01            | Xã      | Hà Nội
 08974 | Quang Minh              | Quang Minh              | 01            | Xã      | Hà Nội
 08980 | Yên Lãng                | Yen Lang                | 01            | Xã      | Hà Nội
 08995 | Tiến Thắng              | Tien Thang              | 01            | Xã      | Hà Nội
 09022 | Mê Linh                 | Me Linh                 | 01            | Xã      | Hà Nội
 09552 | Kiến Hưng               | Kien Hung               | 01            | Phường  | Hà Nội
 09556 | Hà Đông                 | Ha Dong                 | 01            | Phường  | Hà Nội
 09562 | Yên Nghĩa               | Yen Nghia               | 01            | Phường  | Hà Nội
 09568 | Phú Lương               | Phu Luong               | 01            | Phường  | Hà Nội
 09574 | Sơn Tây                 | Son Tay                 | 01            | Phường  | Hà Nội
 09604 | Tùng Thiện              | Tung Thien              | 01            | Phường  | Hà Nội
 09616 | Đoài Phương             | Doai Phuong             | 01            | Xã      | Hà Nội
 09619 | Quảng Oai               | Quang Oai               | 01            | Xã      | Hà Nội
 09634 | Cổ Đô                   | Co Do                   | 01            | Xã      | Hà Nội
 09661 | Minh Châu               | Minh Chau               | 01            | Xã      | Hà Nội
 09664 | Vật Lại                 | Vat Lai                 | 01            | Xã      | Hà Nội
 09676 | Bất Bạt                 | Bat Bat                 | 01            | Xã      | Hà Nội
 09694 | Suối Hai                | Suoi Hai                | 01            | Xã      | Hà Nội
 09700 | Ba Vì                   | Ba Vi                   | 01            | Xã      | Hà Nội
 09706 | Yên Bài                 | Yen Bai                 | 01            | Xã      | Hà Nội
 09715 | Phúc Thọ                | Phuc Tho                | 01            | Xã      | Hà Nội
 09739 | Phúc Lộc                | Phuc Loc                | 01            | Xã      | Hà Nội
 09772 | Hát Môn                 | Hat Mon                 | 01            | Xã      | Hà Nội
 09784 | Đan Phượng              | Dan Phuong              | 01            | Xã      | Hà Nội
 09787 | Liên Minh               | Lien Minh               | 01            | Xã      | Hà Nội
 09817 | Ô Diên                  | O Dien                  | 01            | Xã      | Hà Nội
 09832 | Hoài Đức                | Hoai Duc                | 01            | Xã      | Hà Nội
 09856 | Dương Hoà               | Duong Hoa               | 01            | Xã      | Hà Nội
 09871 | Sơn Đồng                | Son Dong                | 01            | Xã      | Hà Nội
 09877 | An Khánh                | An Khanh                | 01            | Xã      | Hà Nội
 09886 | Dương Nội               | Duong Noi               | 01            | Phường  | Hà Nội
 09895 | Quốc Oai                | Quoc Oai                | 01            | Xã      | Hà Nội
 09910 | Kiều Phú                | Kieu Phu                | 01            | Xã      | Hà Nội
 09931 | Hưng Đạo                | Hung Dao                | 01            | Xã      | Hà Nội
 09952 | Phú Cát                 | Phu Cat                 | 01            | Xã      | Hà Nội
 09955 | Thạch Thất              | Thach That              | 01            | Xã      | Hà Nội
 09982 | Hạ Bằng                 | Ha Bang                 | 01            | Xã      | Hà Nội
 09988 | Hoà Lạc                 | Hoa Lac                 | 01            | Xã      | Hà Nội
 10003 | Tây Phương              | Tay Phuong              | 01            | Xã      | Hà Nội
 10015 | Chương Mỹ               | Chuong My               | 01            | Phường  | Hà Nội
 10030 | Phú Nghĩa               | Phu Nghia               | 01            | Xã      | Hà Nội
 10045 | Xuân Mai                | Xuan Mai                | 01            | Xã      | Hà Nội
 10072 | Quảng Bị                | Quang Bi                | 01            | Xã      | Hà Nội
 10081 | Trần Phú                | Tran Phu                | 01            | Xã      | Hà Nội
 10096 | Hoà Phú                 | Hoa Phu                 | 01            | Xã      | Hà Nội
 10114 | Thanh Oai               | Thanh Oai               | 01            | Xã      | Hà Nội
 10126 | Bình Minh               | Binh Minh               | 01            | Xã      | Hà Nội
 10144 | Tam Hưng                | Tam Hung                | 01            | Xã      | Hà Nội
 10180 | Dân Hoà                 | Dan Hoa                 | 01            | Xã      | Hà Nội
 10183 | Thường Tín              | Thuong Tin              | 01            | Xã      | Hà Nội
 10210 | Hồng Vân                | Hong Van                | 01            | Xã      | Hà Nội
 10231 | Thượng Phúc             | Thuong Phuc             | 01            | Xã      | Hà Nội
 10237 | Chương Dương            | Chuong Duong            | 01            | Xã      | Hà Nội
 10273 | Phú Xuyên               | Phu Xuyen               | 01            | Xã      | Hà Nội
 10279 | Phượng Dực              | Phuong Duc              | 01            | Xã      | Hà Nội
 10330 | Chuyên Mỹ               | Chuyen My               | 01            | Xã      | Hà Nội
 10342 | Đại Xuyên               | Dai Xuyen               | 01            | Xã      | Hà Nội
 10354 | Vân Đình                | Van Dinh                | 01            | Xã      | Hà Nội
 10369 | Ứng Thiên               | Ung Thien               | 01            | Xã      | Hà Nội
 10402 | Ứng Hoà                 | Ung Hoa                 | 01            | Xã      | Hà Nội
 10417 | Hoà Xá                  | Hoa Xa                  | 01            | Xã      | Hà Nội
 10441 | Mỹ Đức                  | My Duc                  | 01            | Xã      | Hà Nội
 10459 | Phúc Sơn                | Phuc Son                | 01            | Xã      | Hà Nội
 10465 | Hồng Sơn                | Hong Son                | 01            | Xã      | Hà Nội
 10489 | Hương Sơn               | Huong Son               | 01            | Xã      | Hà Nội
 01273 | Thục Phán               | Thuc Phan               | 04            | Phường  | Cao Bằng
 01279 | Nùng Trí Cao            | Nung Tri Cao            | 04            | Phường  | Cao Bằng
 01288 | Tân Giang               | Tan Giang               | 04            | Phường  | Cao Bằng
 01290 | Bảo Lâm                 | Bao Lam                 | 04            | Xã      | Cao Bằng
 01294 | Lý Bôn                  | Ly Bon                  | 04            | Xã      | Cao Bằng
 01297 | Nam Quang               | Nam Quang               | 04            | Xã      | Cao Bằng
